Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Prostate cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Breast cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Pancreatic cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Brain and nervous system cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Lip and oral cavity cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Colon and rectum cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Gallbladder and biliary tract cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Liver cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Larynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Ovarian cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Thyroid cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Uterine cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Bladder cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Cervical cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Kidney cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Stomach cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Nasopharynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Testicular cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Other pharynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Esophageal cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Non-melanoma skin cancer - Sex: Both - Age: Age-standardized (Rate),"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: Age-standardized (Rate)"
Afghanistan,AFG,2000,10.8695437,152.852087,70.30745393,970.5725713,5.975279808,407.7233983,37.03634599,6.362276354,8.613973889,2.200526879,5.449192353,1.424865431,11.48847764,2.434851282,6.699181724,4.375967007,1.174747876,0.81239183,0.734334356,3.687095827,5.570019015,0.949353161,42.17894793,0.921585799,0.118950537,0.479804425,9.827577246,0.456105728,13.07367457
Afghanistan,AFG,2001,10.51254812,154.6484434,70.24355442,979.433207,5.968779768,414.6098114,38.37620105,6.404388031,8.794406773,2.23153664,5.505675825,1.417654904,11.70099473,2.443401738,6.662421001,4.434425047,1.204021444,0.82538738,0.74540749,3.689778821,5.653004141,0.960570417,42.95034994,0.913564494,0.127661485,0.480678395,9.773128652,0.466497164,13.18429309
Afghanistan,AFG,2002,9.629007913,154.7797444,67.16327989,982.9260765,5.950291561,417.7873569,38.13776537,6.436136375,8.878487153,2.261648336,5.465601299,1.405084495,11.80359578,2.445180731,6.620951419,4.427956033,1.229446576,0.829440315,0.753575367,3.686424095,5.64994471,0.965800234,42.94411865,0.89545927,0.132398298,0.478881806,9.659947567,0.474613611,13.24842801
Afghanistan,AFG,2003,12.12357055,155.1329612,65.42124792,982.9966231,7.835944477,420.6025207,38.16612013,6.459081309,8.931831221,2.293222439,5.592183072,1.391843726,11.87351244,2.443283409,6.590699436,4.401039978,1.25471773,0.8316751,0.761204851,3.682036902,5.619753598,0.989001493,42.65650167,0.87902785,0.135904169,0.476457753,9.544429922,0.481179169,13.28489496
Afghanistan,AFG,2004,12.99065339,155.2012072,64.67951991,981.6474891,8.463892369,424.4124988,39.14535671,6.479067577,8.985831792,2.32839125,5.62886289,1.382214729,11.95692172,2.441080345,6.568692187,4.380959227,1.279433,0.833969819,0.768832312,3.682566808,5.585207337,1.00546373,42.37502473,0.864722756,0.139115841,0.474678539,9.458213294,0.486962867,13.31126092
Afghanistan,AFG,2005,12.56429108,154.1851581,62.14404257,981.1720332,8.412477628,424.2597122,39.11483879,6.481956859,9.007946803,2.357016475,5.562765129,1.367052624,11.99562902,2.43086282,6.526866823,4.329283214,1.301545338,0.831574029,0.773375918,3.670656264,5.511657164,1.012570923,41.77814138,0.84561892,0.140190449,0.470883382,9.348751382,0.49057424,13.27438802
Afghanistan,AFG,2006,12.18371851,153.4657348,61.19463008,978.3051982,8.175819591,427.4158111,40.08826743,6.481530468,9.086512472,2.395203684,5.513574996,1.357326404,12.0496174,2.423913083,6.472647666,4.285624757,1.326523666,0.832947562,0.780930242,3.66665125,5.460505856,1.02531196,41.22006921,0.830718773,0.140848144,0.468794869,9.276810532,0.494082494,13.26837787
Afghanistan,AFG,2007,11.80858424,152.4930758,60.35519876,973.6048214,7.952320671,429.9028895,40.78399529,6.474239885,9.14561343,2.437443575,5.454108697,1.349133926,12.08193944,2.416697118,6.436814676,4.232064135,1.351666747,0.833252921,0.787676744,3.666721964,5.390418357,1.0383278,40.50858516,0.81491395,0.140456866,0.466702264,9.205328003,0.496907898,13.26241005
Afghanistan,AFG,2008,10.46049123,151.1541746,58.4238775,967.956498,7.406858495,431.1559061,40.78610669,6.454263445,9.196346094,2.478703923,5.349402156,1.342344962,12.09731019,2.407594029,6.388604103,4.175576458,1.37529534,0.832728502,0.79396915,3.667509976,5.319058742,1.04549594,39.80204032,0.798658477,0.138813643,0.464352482,9.134591495,0.498260057,13.15845973
Afghanistan,AFG,2009,9.420533232,149.536327,56.97774342,961.8084936,6.92982176,429.9429147,40.85156038,6.429035305,9.192029784,2.524851349,5.250592794,1.336665518,12.08609939,2.398105228,6.340230341,4.105049802,1.397126131,0.830263645,0.797804413,3.664477461,5.217243262,1.054590476,38.92106781,0.780898377,0.136026151,0.461822241,9.04997562,0.498783827,13.08059362
Afghanistan,AFG,2010,9.470846902,148.0239351,55.69948941,954.4221769,7.041461894,424.5053862,40.86410766,6.367932413,9.205920204,2.566158351,5.218994375,1.331452624,12.05777638,2.383912322,6.282373901,4.033349304,1.419604204,0.828228511,0.801053201,3.648759804,5.126926721,1.069092941,38.01853645,0.766308742,0.132958636,0.459461461,8.961439369,0.496523175,12.97038082
Afghanistan,AFG,2011,9.015886084,146.4847199,54.28917666,946.7236707,6.908271057,420.1696377,40.62042863,6.316217475,9.208090587,2.60257936,5.163067796,1.325065784,12.02929924,2.368830388,6.240707456,3.961471088,1.443283657,0.822635118,0.801215515,3.635232453,5.041247607,1.070517513,37.19349753,0.750597552,0.12951677,0.456852023,8.866161971,0.494869795,12.89574586
Afghanistan,AFG,2012,8.428710156,144.8586494,53.15936489,939.4775476,6.673133341,411.8633119,40.38321599,6.274944245,9.205650294,2.629844221,5.101406495,1.32004915,11.99542999,2.357476583,6.193330433,3.890642259,1.46610535,0.816434065,0.800513667,3.631273254,4.957325133,1.06644319,36.36816749,0.735381385,0.12574267,0.45466514,8.734175891,0.493773086,12.80146111
Afghanistan,AFG,2013,9.010139988,143.4969676,52.3882897,932.5067885,7.00719127,400.0612771,39.94078922,6.228550447,9.192923908,2.651521716,5.092745614,1.315450313,11.96624095,2.346318123,6.137017635,3.827712002,1.485210171,0.810281879,0.79886594,3.631462216,4.875168783,1.066055434,35.62168191,0.721996597,0.122350041,0.452391571,8.597214167,0.492456059,12.69038164
Afghanistan,AFG,2014,8.977014818,142.1863045,51.70301603,926.4472261,6.988933755,385.422075,39.58466858,6.175057905,9.170603793,2.681905046,5.057752209,1.311608043,11.95589735,2.332898503,6.094282101,3.773643333,1.500409659,0.804615201,0.796671348,3.631231141,4.791143558,1.06682554,34.95727794,0.709605586,0.119760936,0.450022801,8.503630739,0.490905454,12.58352883
Afghanistan,AFG,2015,8.686641988,140.9480167,51.31674399,919.3880062,6.834561189,367.3679938,39.45430058,6.101264152,9.162585838,2.708216119,5.02110482,1.30903371,11.95116906,2.315718674,6.050226423,3.729591864,1.514318215,0.799577292,0.794551703,3.623831802,4.714484063,1.06656319,34.34978005,0.699591724,0.117746029,0.447952085,8.418381385,0.488820525,12.5052712
Afghanistan,AFG,2016,8.783496014,140.0730478,51.12267268,912.1327434,6.914413889,351.891387,39.16086169,6.061584248,9.166108498,2.736896043,5.010326735,1.307337386,11.96979242,2.302244164,6.00942748,3.689368804,1.531129916,0.796449047,0.793376438,3.629210084,4.651019191,1.069249921,33.87253751,0.690202806,0.116219761,0.446032642,8.348198417,0.487994176,12.39721912
Afghanistan,AFG,2017,8.679264198,139.3124373,50.73984582,907.8120386,6.903103918,336.5837443,38.56166948,6.013549889,9.149381573,2.749987906,4.995330315,1.305749323,11.97811462,2.292858209,5.947672579,3.65827981,1.542283664,0.794742645,0.794044253,3.62347974,4.613144398,1.066621342,33.55668149,0.682344596,0.115124433,0.444374166,8.298042339,0.487283227,12.29698001
Albania,ALB,1990,14.68639769,106.7655197,72.73864452,747.2856195,6.50693496,286.7553824,24.77117596,6.056133617,3.996762025,3.033613124,4.511578728,1.809078802,6.364838753,1.087318875,10.1130801,3.085521769,0.866333321,0.507983037,0.938624531,0.936254026,1.688360371,1.316502382,14.06608564,0.584683036,0.290741856,0.930835878,2.032612177,1.177775651,24.78240277
Albania,ALB,1991,16.6427165,109.848619,75.95367021,782.3277306,7.193702419,288.7653869,25.58476443,6.446010324,4.150203615,3.150689508,4.706496947,1.809781159,6.57907792,1.127109618,10.62536462,3.107505728,0.850891426,0.518958356,0.939030332,0.974842681,1.696504407,1.362872764,14.45830785,0.582189029,0.28273602,0.926494294,2.026472969,1.200429548,25.27308064
Albania,ALB,1992,16.49453111,107.2267743,75.2975156,775.9708582,7.232217389,277.8108909,25.23165429,6.556600214,4.17332224,3.109850474,4.635933889,1.756840854,6.479174012,1.132978493,10.615416,2.942422382,0.819185239,0.507083732,0.904058853,0.967685675,1.629578678,1.330001169,13.89765386,0.551299696,0.255026187,0.870567809,1.898418695,1.188453923,24.2075323
Albania,ALB,1993,16.19174815,104.0791471,74.34588355,766.3086077,7.227024863,268.2080132,24.12342268,6.625120078,4.148903767,3.092631469,4.508318825,1.626913458,6.330679923,1.12378317,10.64638919,2.728545274,0.791472108,0.486193834,0.857405428,0.950654556,1.535545111,1.300646292,13.14527244,0.512952392,0.224836681,0.828301068,1.765777722,1.14315656,23.25092046
Albania,ALB,1994,15.60600931,99.91656417,72.85796894,746.590733,7.285770834,255.3269546,23.27433767,6.560875453,4.128818037,3.005649602,4.398112635,1.455052374,5.963684315,1.079522167,10.46622636,2.472293088,0.755158376,0.471606642,0.824672114,0.915799283,1.493492804,1.275061629,12.38209192,0.453669363,0.210538422,0.760366453,1.594115395,1.080265691,22.17243494
Albania,ALB,1995,14.39246629,100.7286147,75.13868892,760.0728965,7.264464573,257.5914152,23.72818566,6.399891447,4.280699153,3.075975234,4.458649767,1.330077005,5.82161934,1.041849669,11.03249847,2.44319686,0.728917752,0.483614188,0.856714219,0.902489496,1.538855603,1.25744045,12.77610598,0.414993211,0.204127408,0.72628472,1.532470694,1.037983797,22.72645935
Albania,ALB,1996,13.35793005,104.4715797,79.80228402,799.4508389,7.442622744,266.3839474,24.64944176,6.382855112,4.490029879,3.241369721,4.621795109,1.276481911,5.898497089,1.040104823,11.71826791,2.482330895,0.742798464,0.496623977,0.906992929,0.918737591,1.625384026,1.269500787,13.63816219,0.39932051,0.193166451,0.718665564,1.564302602,1.019207665,24.14907585
Albania,ALB,1997,12.27052915,107.724936,84.12607597,829.0749,7.35760589,275.9126611,25.14062283,6.767385167,4.697115382,3.388673466,4.750681331,1.25117546,5.927977311,1.043911105,12.28185004,2.53586905,0.767557951,0.510785505,0.956077739,0.954697601,1.677910222,1.304880861,14.11654131,0.387700341,0.184379717,0.69511986,1.53971697,1.04796974,25.17049478
Albania,ALB,1998,10.6099009,110.5157008,83.86240364,858.462761,7.356423072,280.7393723,25.03987683,7.406855622,4.882234365,3.611265611,4.878375204,1.251928335,6.017024293,1.053417019,12.69999574,2.544084155,0.816222123,0.534385413,0.967394612,1.000876387,1.659956146,1.375902279,14.30656892,0.396702718,0.179075914,0.709370371,1.493324333,1.062502164,25.6612209
Albania,ALB,1999,10.83460516,112.9022842,88.41047104,880.7438468,7.565506755,282.4648184,26.56655625,7.857314273,5.151462988,3.850092808,5.126025851,1.273907379,6.166834867,1.066416692,12.81926937,2.590180926,0.901000094,0.542670306,0.98756476,1.03627423,1.702451999,1.446717064,14.2688,0.397942706,0.182385632,0.706817165,1.477778091,1.075415984,25.84451937
Albania,ALB,2000,10.8757132,111.8558874,95.46668254,872.0633394,7.855623625,277.2654397,28.48089737,7.678201919,5.202773877,4.007893963,5.196473504,1.252651778,6.203352202,1.040464289,12.24254606,2.594181625,0.958277919,0.527669052,0.957440227,1.022540964,1.694618948,1.488855235,14.11822157,0.389349474,0.185272243,0.700219342,1.507321324,1.108351111,25.50211629
Albania,ALB,2001,10.33797173,110.9555585,97.7034075,868.6648853,8.183289039,271.7499001,28.69369749,7.728893202,5.253811582,4.2079339,5.303587949,1.288898821,6.313851703,1.030951469,11.51907862,2.571277179,1.007255735,0.509355994,0.92057316,1.03178965,1.67443488,1.576548662,13.70194165,0.385346213,0.203213231,0.69486177,1.506559814,1.176604559,25.09610764
Albania,ALB,2002,9.946136356,111.5619681,101.6279252,872.7722363,8.268704513,272.2294838,29.70211525,7.750449333,5.35573119,4.433336195,5.50672612,1.333456546,6.450885719,1.018441679,10.86781662,2.601413497,1.055852957,0.503779008,0.919271467,1.039212362,1.701810004,1.666907883,13.79016054,0.379142945,0.22231657,0.702758173,1.531164168,1.190259329,25.21453175
Albania,ALB,2003,9.869365421,111.9383929,105.4391571,873.7719568,8.257693461,272.5459266,30.73717831,7.638994586,5.547974663,4.633022525,5.719038895,1.361537347,6.592405767,1.01169252,10.18603068,2.60696832,1.097864647,0.505127154,0.917864388,1.039179573,1.717960267,1.758371002,13.88148663,0.385428955,0.231006319,0.71201778,1.592098654,1.208365993,25.23312871
Albania,ALB,2004,9.71180224,111.5702729,108.6844448,867.4668944,8.211147901,271.2340293,31.43317854,7.550024108,5.732744727,4.859576456,5.855052862,1.383150044,6.722810054,1.019392537,9.29986109,2.537815259,1.116747926,0.496986958,0.926622792,1.040532623,1.742206914,1.830015905,13.75333891,0.387097944,0.237909278,0.721608577,1.642756102,1.218062409,24.99153843
Albania,ALB,2005,9.572589442,109.8846127,110.9497209,840.7056099,8.238398963,269.198555,32.02620674,7.441869015,5.888695387,4.97183487,6.002959393,1.369150653,6.758011277,1.032397963,8.272748281,2.468375617,1.132682225,0.469539368,0.932690577,1.030796365,1.772109178,1.941056379,13.33189055,0.400414955,0.253748913,0.710094399,1.630197367,1.205550799,24.3227409
Albania,ALB,2006,9.580106876,109.1914793,114.1111752,835.0176511,8.086875604,266.5711515,31.89866587,7.736029847,6.023742974,5.09967836,6.117578546,1.378726775,6.825852587,1.078795044,7.671374191,2.340636627,1.18372063,0.442342447,0.921930308,1.049068093,1.770619447,1.992045276,12.76587657,0.412510723,0.257384836,0.68415441,1.576086021,1.235422332,23.82384039
Albania,ALB,2007,9.475328802,107.6234757,116.3356301,829.6991595,7.555367511,260.5123353,30.8552177,8.222996716,6.05419492,5.22569303,6.068357895,1.377483586,6.863415688,1.144400257,7.163666247,2.173198012,1.224604923,0.423414009,0.889091407,1.072647251,1.710165978,2.055725377,11.88419616,0.405172681,0.245309141,0.653058858,1.456307523,1.24854789,23.0564606
Albania,ALB,2008,9.771407205,108.1272005,121.0567244,831.2197801,7.615984077,260.425709,31.21196247,8.318622296,6.18559768,5.376442427,6.182292303,1.339511096,6.972194896,1.206696883,6.916351994,2.15624503,1.274304289,0.415372978,0.898638746,1.080248479,1.707891126,2.105861091,11.60899882,0.398825662,0.259892588,0.62263298,1.429203876,1.245201286,23.10633257
Albania,ALB,2009,9.958358159,106.5708686,123.4398868,819.5554693,7.696556751,255.0350168,30.69702346,8.327369205,6.053294267,5.413297063,6.116164831,1.268671305,6.887116652,1.238819006,6.686627429,2.107272657,1.271989597,0.415556578,0.88205437,1.062975949,1.647692108,2.063254555,11.14320639,0.398053234,0.276608339,0.611140826,1.371897612,1.212922621,22.7331661
Albania,ALB,2010,9.921698775,105.8055398,126.740055,816.7352514,7.429734743,252.795869,29.99014993,8.280724911,6.003995259,5.410702454,6.038453681,1.241774779,6.878763864,1.317712555,6.718892187,2.074699552,1.256079535,0.412097329,0.861444884,1.052800425,1.593024742,1.978974042,10.82482057,0.385454767,0.272358596,0.608116515,1.354329765,1.191749061,22.52237267
Albania,ALB,2011,9.913310741,106.1609791,131.4606576,824.1969619,7.126007786,253.8482761,29.53706436,8.215613597,5.947532288,5.459096172,5.994146374,1.25639554,6.931456875,1.278614466,6.801557929,2.084126151,1.252710651,0.412093098,0.855197413,1.045044356,1.57074753,1.996513875,10.85107073,0.381063407,0.270993573,0.622398838,1.372681377,1.189087781,23.05221705
Albania,ALB,2012,9.669632087,105.9761256,135.5973686,827.2340033,6.994805181,254.1233051,29.20408062,8.158295351,5.881996869,5.466390001,5.943036208,1.257374616,6.937764073,1.249772415,6.874389091,2.079607982,1.243727848,0.411949733,0.849892285,1.036787278,1.550989054,1.997186599,10.80625412,0.376975124,0.269424709,0.630812359,1.381593937,1.181107634,23.25768833
Albania,ALB,2013,9.377798435,106.0764636,140.0225503,832.5716083,6.804005277,256.2679912,28.89341902,8.112997746,5.831426009,5.484231035,5.908308818,1.260119261,6.965087285,1.223790748,6.973703728,2.086010298,1.235179911,0.412771002,0.846700064,1.032450648,1.534841635,2.002936595,10.81574571,0.374626191,0.269382645,0.640581784,1.39747279,1.173660423,23.55055345
Albania,ALB,2014,9.159158617,106.7282389,145.7255222,842.8426094,6.561647391,260.7222508,28.69607848,8.054561293,5.81713243,5.540505326,5.89814423,1.272548171,7.052813031,1.20931901,7.090431829,2.105256253,1.235047338,0.41464535,0.846236029,1.032983631,1.519061017,2.014041695,10.88416821,0.373332267,0.270567557,0.653713396,1.421906005,1.168814794,24.04911119
Albania,ALB,2015,8.921963208,106.6171584,149.9630614,845.8083488,6.465293569,262.7407211,28.62097713,8.023189159,5.801953398,5.547436347,5.88300625,1.276161819,7.074944246,1.191457474,7.159788613,2.098194048,1.234048819,0.415099313,0.846386952,1.032317025,1.503662324,2.014591304,10.81514718,0.37111139,0.268670196,0.659137719,1.426263427,1.163579102,24.15760764
Albania,ALB,2016,8.720078302,106.429327,153.5186443,847.7085323,6.377909085,265.1892587,28.47050976,7.997569725,5.784803044,5.552230544,5.870179711,1.280401535,7.092828134,1.174775204,7.22457221,2.090161476,1.2345067,0.415317188,0.845934859,1.032488171,1.487381001,2.015011388,10.72814048,0.369258101,0.266511882,0.663579344,1.428442951,1.158376666,24.21102039
Albania,ALB,2017,8.540194381,105.9919406,157.0758793,846.6154445,6.288207172,266.7512274,28.31064936,7.971971814,5.74297673,5.529590593,5.847912391,1.281539078,7.077816199,1.158835276,7.25428686,2.079927595,1.229256423,0.413700823,0.841373982,1.029730245,1.469184091,2.0039801,10.63315331,0.36672398,0.263457458,0.666642749,1.422464122,1.152816335,24.20843639
Algeria,DZA,1990,6.171301256,72.39577309,37.79766663,511.5152547,6.911963428,176.0159995,16.10124843,3.662503003,5.325828329,1.853486372,1.616357454,0.877685934,6.071436586,4.737282418,1.733883043,2.05194821,0.828974363,0.534854653,0.414948324,2.077009846,3.325184471,0.507368935,7.577299278,1.606750209,0.083720842,0.711947262,1.147555709,0.338203849,10.39194919
Algeria,DZA,1991,5.999481231,72.23888804,38.04048296,517.4484567,7.146696467,174.4159993,16.01228875,3.842065863,5.372146819,1.871515106,1.627377504,0.877368645,6.034162812,4.679872489,1.738681076,2.026011912,0.829640692,0.532816539,0.407901209,2.115068804,3.24273229,0.513250037,7.367703559,1.596660391,0.082177281,0.699854487,1.129064713,0.346874294,10.32935131
Algeria,DZA,1992,5.867140356,71.74342892,38.16667402,519.6941643,7.265492781,172.6532669,16.02648994,3.861471184,5.447897496,1.898355931,1.637831758,0.868953627,6.052042139,4.591714409,1.746322309,1.980766464,0.840782258,0.529558521,0.40126074,2.122119876,3.150511475,0.516626992,7.149521918,1.575436996,0.081552515,0.687402799,1.111368155,0.346241707,10.19612651
Algeria,DZA,1993,5.75028587,71.38324774,38.37390061,524.2137508,7.391212664,171.477851,16.12828593,3.871970669,5.529070909,1.920619646,1.652002931,0.863648538,6.06244258,4.515707072,1.748987639,1.946871236,0.850478646,0.527469291,0.396026908,2.130515738,3.077917928,0.520037188,6.974888793,1.557286464,0.081206265,0.677064417,1.096519439,0.345109828,10.10428656
Algeria,DZA,1994,5.64190569,70.73179872,38.56040853,529.8305798,7.889699937,166.1724288,16.59461451,3.887411212,5.570961627,1.920892174,1.678397445,0.85319723,6.037346069,4.420777539,1.732726098,1.896422629,0.851025609,0.523986998,0.388539645,2.126384356,2.99921074,0.518779081,6.767578049,1.52734662,0.082800289,0.660378991,1.072582893,0.342479266,9.923109626
Algeria,DZA,1995,5.552970088,70.62910115,38.91868201,535.5686605,7.866894789,166.4527721,16.75382922,3.8960768,5.666149157,1.931457877,1.695314732,0.852004482,6.052395621,4.356930235,1.725474014,1.882758722,0.861706834,0.520569136,0.384516909,2.147963031,2.954986787,0.522892813,6.659122767,1.499934597,0.08209577,0.650619002,1.063800122,0.341433285,9.96183305
Algeria,DZA,1996,5.467802049,70.04590624,39.05807917,537.0611573,7.79926732,165.2594387,16.90505088,3.893330344,5.614135409,2.004476925,1.703577874,0.848083457,6.083137585,4.332402845,1.769181364,1.824040939,0.863661173,0.528104143,0.381505595,2.084665858,2.850385269,0.526908759,6.478523052,1.526866384,0.082101054,0.66363513,1.053972665,0.341712512,9.654040627
Algeria,DZA,1997,5.800418024,69.65096919,39.37364934,538.4465756,7.887901069,163.5343955,17.05873577,3.903334025,5.587209038,2.067844701,1.728380072,0.845290244,6.107084022,4.308907297,1.804086492,1.774692254,0.867411548,0.533648204,0.378302862,2.046356165,2.756016742,0.531487567,6.306938471,1.547415471,0.081890942,0.673082315,1.043487972,0.342336433,9.403857843
